date,location,competition,home_team_abbreviation,home_team_fullname,away_team_abbreviation,away_team_fullname,result,home_team_score,away_team_score
1963-03-16,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,SCOT,SCOTLAND,FT,10,8
1963-03-09,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,IRE,IRELAND,FT,6,14
1963-02-23,"TWICKENHAM, LONDON",SIX NATIONS,ENG,ENGLAND,FRA,FRANCE,FT,6,5
1963-02-23,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,IRE,IRELAND,FT,3,0
1963-02-09,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,ENG,ENGLAND,FT,0,0
1963-02-02,"BT MURRAYFIELD, EDINBURGH",SIX NATIONS,SCOT,SCOTLAND,WALES,WALES,FT,0,6
1963-01-26,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,FRA,FRANCE,FT,5,24
1963-01-19,"NATIONAL STADIUM, CARDIFF",SIX NATIONS,WALES,WALES,ENG,ENGLAND,FT,6,13
1963-01-12,"STADE YVES DU MANOIR, COLOMBES",SIX NATIONS,FRA,FRANCE,SCOT,SCOTLAND,FT,6,11
1962-12-01,"NATIONAL STADIUM, CARDIFF",CANADA TOUR IN ENGLAND/WALES 1962,,WALES UNDER-,CAN,CANADA,FT,23,0
1962-11-17,"AVIVA STADIUM, DUBLIN",SIX NATIONS,IRE,IRELAND,WALES,WALES,FT,3,3
1962-11-17,"COUNTY GROUND, GOSFORTH",CANADA TOUR IN ENGLAND/WALES 1962,CAN,CANADA,BAR,BARBARIANS,FT,3,3
1962-11-11,"STADIONUL DINAMO, BUCHAREST",FRANCE TOUR IN ITALY/ROMANIA 1962,ROM,ROMANIA,FRA,FRANCE,FT,3,0
1962-10-07,"LINDANGENS IP, MALMO",DENMARK TOUR IN SWEDEN 1962,SWED,SWEDEN,DEN,DENMARK,FT,9,8
1962-09-22,"EDEN PARK, AUCKLAND",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,16,8
1962-09-08,"CARISBROOK, DUNEDIN",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,3,0
1962-08-25,"TOYOTA STADIUM, BLOEMFONTEIN",BRITISH AND IRISH LIONS TOUR 1962,SA,SOUTH AFRICA,LIONS,BRITISH AND IRISH LIONS,FT,34,14
1962-08-25,"ATHLETIC PARK, AOMORI",BLEDISLOE CUP,NZL,NEW ZEALAND,AUS,AUSTRALIA,FT,9,9
1962-08-04,"DHL NEWLANDS, CAPE TOWN",BRITISH AND IRISH LIONS TOUR 1962,SA,SOUTH AFRICA,LIONS,BRITISH AND IRISH LIONS,FT,8,3
1962-07-21,"JONSSON KINGS PARK, DURBAN",BRITISH AND IRISH LIONS TOUR 1962,SA,SOUTH AFRICA,LIONS,BRITISH AND IRISH LIONS,FT,3,0
1962-07-01,"CLUBE ATLETICO, SAN PABLO",URUGUAY XV TOUR 1962,BRA,BRAZIL,URUG,URUGUAY,FT,5,13
1962-06-23,"EMIRATES AIRLINES PARK, JOHANNESBURG",BRITISH AND IRISH LIONS TOUR 1962,SA,SOUTH AFRICA,LIONS,BRITISH AND IRISH LIONS,FT,3,3
1962-06-10,"STADIONUL DINAMO, BUCHAREST",ITALY TOUR IN GERMANY/ROMANIA 1962,ROM,ROMANIA,ITALY,ITALY,FT,14,6
